School Name,District,Year,Focus,Carrier,M,Pupils,Latitude,Longitude
Adolf-Weber-Gymnasium,Adolf Weber,1942[2],WSG-W,Stadt,,828,48.153611,11.544194
Albert-Einstein-Gymnasium,Albert Einstein,1864 Vorgänger,NTG SG,Staat,,854,48.095139,11.561611
Asam-Gymnasium,Brüder Asam,1935[3],NTG SG,Staat,,1078,48.114417,11.591806
Bertolt-Brecht-Gymnasium,Bertolt Brecht,1968[4],NTG WSG-S,Stadt,M,538,48.141194,11.447361
Bilinguales Gymnasium Phorms,Kunstwort aus Formation und Metamorphose,2007[5],SG,Privat,,309,48.14725,11.60125
Dante-Gymnasium München,Dante Alighieri,1970[6],SG,Staat,,754,48.115,11.543056
Deutsch-Italienisches Gymnasium Leonardo da Vinci,Leonardo da Vinci,2016,SG,Privat,,132,48.093361,11.539667
Edith-Stein-Gymnasium,Edith Stein,1967[7],SG WSG-S NTG,Kirche,M,594,48.131806,11.601778
Elsa-Brändström-Gymnasium,Elsa Brändström,1908,SG,Stadt,,809,48.145528,11.464417
Erasmus-Grasser-Gymnasium,Erasmus Grasser,1833[8],NTG,Staat,,1174,48.122806,11.505083
Gisela-Gymnasium,Gisela von Österreich,1904[9],NTG SG,Staat,,896,48.156694,11.573417
Gymnasium Freiham,Stadtteil,2019,NTG[10] SG,Staat,,855,48.141556,11.407333
Gymnasium Fürstenried,Stadtteil,1971[11],NTG SG,Staat,,943,48.090111,11.481194
Gymnasium München Feldmoching,Stadtteil,2020,NTG SG,Staat,,597,48.208778,11.531583
Gymnasium München/Moosach,Stadtteil,1973[12],NTG SG,Staat,,1145,48.184972,11.518806
Gymnasium München-Nord,Lage,2016,NTG SG,Staat,,1088,48.199667,11.572167
Gymnasium München Riem,Stadtteil,2022,NTG SG,Staat,,380,48.135917,11.683083
Gymnasium München-Trudering,Stadtteil,2013[13],NTG SG[14],Staat,,892,48.110056,11.674639
Gymnasium Neufreimann,Stadtteil,2024,NTG SG,Staat,,,48.180417,11.603472
Heinrich-Heine-Gymnasium,Heinrich Heine,1979[15],NTG SG,Stadt,,982[16],48.090917,11.639333
Helene-Habermann-Gymnasium,Helene Habermann (Holocaustüberlebende),2016,,Privat,,111,48.096972,11.603194
Isar-Gymnasium,Isar,,NTG SG,Privat,,582,48.131583,11.57825
Karlsgymnasium,Karl der Große[17],1910[18],SG SG.HG,Staat,,682,48.141389,11.4525
Käthe-Kollwitz-Gymnasium,Käthe Kollwitz,1967[19],SG,Stadt,,1219,48.1525,11.518111
Kleines privates Lehrinstitut Derksen,Dieter Derksen (Gründer),1959[20],NTG SG,Privat,,261,48.108694,11.479083
Klenze-Gymnasium,Leo von Klenze,1921[21],NTG,Staat,,1049,48.115444,11.544306
Lion-Feuchtwanger-Gymnasium,Lion Feuchtwanger,1979[22],NTG SG,Stadt,,868,48.178111,11.580972
Louise-Schroeder-Gymnasium,Louise Schroeder,1983 oder früher[23],NTG SG,Stadt,,1141,48.179889,11.463278
Ludwigsgymnasium,Ludwig I.,1824[24],SG SG.HG,Staat,,704,48.122222,11.503611
Luisengymnasium,Ludovika Wilhelmine von Bayern,1822[25],MuG SG,Stadt,,850,48.142694,11.561694
Luitpold-Gymnasium,Luitpold von Bayern,1891[26],NTG SG,Staat,,980,48.144167,11.591944
Lukas-Gymnasium (evang. Gymnasium)[Anm. 1],Evangelist Lukas,2011[27],NTG SG,Privat,,150,48.140639,11.501667
Lycée Jean Renoir,Jean Renoir,1953[28],deutsch- französische Schule,Privat,,544,48.124333,11.542306
Maria-Theresia-Gymnasium,Marie Therese,1899[29],NTG SG,Staat,,869,48.124444,11.588611
Maria-Ward-Gymnasium Nymphenburg,Maria Ward,1835[30],NTG SG,Kirche,M,920,48.161778,11.504444
Maximilians­gymnasium,Maximilian II. Joseph,1849[31],HG,Staat,,628,48.164639,11.58475
Max-Josef-Stift,Maximilian I. Joseph,1813[32],MuG SG,Staat,M,590,48.141722,11.610194
Max-Planck-Gymnasium,Max Planck,1945[33],NTG,Staat,,1097,48.139944,11.470083
Michaeli-Gymnasium,Michaeliburg/Pfarrkirche St. Michael,1971[34],NTG SG,Staat,,1401,48.120639,11.639139
Münchenkolleg,Stadt,1961,SG,Stadt,,154,48.113139,11.593583
Neuhof-Gymnasium,Stadtteil Neuhofener Berg,2002,NTG,Privat,,195,48.102056,11.540306
Novalis-Gymnasium der Neuhof-Schulen,Novalis,2002,NTG,Privat,,133,48.102056,11.540306
Nymphenburger Gymnasium,Stadtbezirk,1946[35],NTG SG,Privat,,738,48.16575,11.521639
Obermenzinger Gymnasium,Stadtteil,1961[36],SG WSG-W,Privat,,346,48.169167,11.476889
Oskar-von-Miller-Gymnasium,Oskar von Miller,1864[37],SG,Staat,,1038,48.164611,11.58375
Pestalozzi-Gymnasium,Johann Heinrich Pestalozzi,1965[38],MuG,Staat,,868,48.127583,11.582417
Privates Gymnasium Huber,,,NTG SG,Privat,,223,48.131917,11.580972
Privates Jules Verne Gymnasium,Jules Verne,2015,SG,Privat,,124,48.091056,11.630222
Privatgymnasium Dr. Florian Überreiter,Florian Überreiter (Gründer),1955[39],NTG SG WSG-W,Privat,,279,48.127472,11.59925
Rupprecht-Gymnasium,Rupprecht von Bayern,1911[40],NTG SG,Staat,,1129,48.151861,11.544139
Sophie-Scholl-Gymnasium,Sophie Scholl,1961[41],SG WSG-S WSG-W,Stadt,M,606,48.167722,11.572139
St.-Anna-Gymnasium,Kloster- bzw. Pfarrkirche St. Anna im Lehel,1912[42],NTG SG,Stadt,,667,48.140806,11.587111
Theodolinden-Gymnasium,Theudelinde,1939,SG WSG-S,Stadt,,1039,48.097639,11.575056
Theresia-Gerhardinger-Gymnasium am Anger,Karolina Gerhardinger,1843[43],MuG SG WSG-W,Kirche,M,938,48.133333,11.572778
Theresien-Gymnasium,Therese von Sachsen-Hildburghausen,1896/1897[44],SG SG.HG,Staat,,674,48.131944,11.556389
Thomas-Mann-Gymnasium,Thomas Mann,1968,NTG SG,Stadt,,1102,48.097194,11.524667
Werner-von-Siemens-Gymnasium,Werner von Siemens,1970[45],NTG SG,Stadt,,1007,48.109472,11.648694
Wilhelmsgymnasium,Wilhelm V.,1559[46],HG,Staat,,553,48.138056,11.588611
Wilhelm-Hausenstein-Gymnasium,Wilhelm Hausenstein,1970[47],NTG SG,Staat,,1290,48.163861,11.64175
Willi-Graf-Gymnasium,Willi Graf,1972[48],NTG SG,Stadt,,1178,48.169556,11.571972
Wittelsbacher-Gymnasium,Haus Wittelsbach,1907[49],SG SG.HG,Staat,,770,48.145833,11.548611
